id,question,cot,answer,unit
QA8005407,"A calorimeter contains 100 g of hot water. Initially, a piece of ice at 0°C is placed into the calorimeter. When thermal equilibrium is reached, the water temperature in the calorimeter decreases by 12°C. Afterwards, an identical piece of ice is placed into the calorimeter. When thermal equilibrium is reached, the water temperature in the calorimeter decreases by an additional 10°C. What is the mass of the ice cube in grams?","Step 1: Set up the heat balance equation for the first ice cube
The water temperature drops by 12°C, so the equilibrium temperature is T − 12. The ice melts and then rises to T − 12:
M × c × 12 = m × L + m × c × (T − 12). Substituting the values gives 100 × 12 = m × (80 + T − 12), so 1200 = m × (68 + T). (1)
Step 2: Set up the heat balance equation for the second ice cube
Now the mass of water is M + m and its temperature is T − 12. After adding the second ice cube of mass m, the water temperature drops another 10°C to T − 22:
(M + m) × c × 10 = m × L + m × c × (T − 22). Substituting the values gives (100 + m) × 10 = m × (80 + T − 22), so 1000 + 10m = m × (58 + T). (2)
Step 3: Eliminate the variable T from the system
From equation (1) we have m × T = 1200 − 68m. Substitute this into equation (2):
1000 + 10m = 58m + (1200 − 68m).
Step 4: Solve for the mass of the ice cube (m)
Simplify the equation: 1000 + 10m = 1200 − 10m. Rearranging gives 20m = 200, so m = 10 g.",,
NL329,The magnetic field energy in an ideal LC circuit is described by the expression: W_L = W₀cos²(ωt). What is the expression for the electric field energy?,"Step 1: In an ideal LC circuit, the total electromagnetic energy W is strictly conserved and mathematically defined by the constant algebraic sum W = W_L + W_C, where W_L represents the instantaneous magnetic field energy and W_C represents the instantaneous electric field energy.
Step 2: The instantaneous magnetic field energy is mathematically defined by the explicitly provided algebraic expression W_L = W_0 * cos^2(omega * t), where W_0 represents the absolute maximum energy amplitude.
Step 3: The absolute maximum magnetic field energy mathematically evaluates strictly to the total conserved electromagnetic energy, establishing the algebraic equality W = W_0.
Step 4: Applying the principle of energy conservation algebraically yields the equation W_0 = W_0 * cos^2(omega * t) + W_C. Solving strictly for the instantaneous electric field energy yields the algebraic expression W_C = W_0 * (1 - cos^2(omega * t)). Applying the standard Pythagorean trigonometric identity mathematically transforms this expression to yield the final calculated expression for the electric field energy as W_C = W_0 * sin^2(omega * t).",W_C = W₀sin²(ωt),J
CH218,Circuit AB consists of segment AM (with a resistor R1 = 25 Ω in series with a capacitor C) and segment MB (with a resistor R2 = 60 Ω in series with an inductor L). Given that LCω² = 1 and uAM is 90° out of phase with uMB. An RMS voltage U = 110 V is applied across AB. What is the power consumed by the entire circuit AB?,"Step 1: Identify the impedance of each segment. Segment AM has impedance Z_AM = R1 - jX_C, and segment MB has impedance Z_MB = R2 + jX_L. The total circuit impedance is Z_AB = Z_AM + Z_MB.
Step 2: Interpret the condition LCω² = 1. Since X_L = ωL and X_C = 1/(ωC), this condition directly implies ω²LC = 1, which means ωL = 1/(ωC). Therefore, X_L = X_C.
Step 3: Interpret the condition that uAM is 90° out of phase with uMB. This means the phase angle between the voltage across AM and the voltage across MB is 90°. Since the current is common for both series segments, the phase difference is due to their individual impedance angles. If two complex numbers Z_1 and Z_2 have phases φ_1 and φ_2 such that |φ_1 - φ_2| = 90°, then tan(φ_1) * tan(φ_2) = -1. For our segments, φ_AM = arctan(-X_C/R1) and φ_MB = arctan(X_L/R2). So, (-X_C/R1) * (X_L/R2) = -1, which simplifies to X_C * X_L = R1 * R2.
Step 4: Combine the conditions from Step 2 and Step 3. From Step 2, X_L = X_C. Substitute this into the equation from Step 3: X_L * X_L = R1 * R2, or X_L² = R1 * R2. This confirms consistency between the given conditions. P = I² (R₁ + R₂) = U² / (R₁ + R₂). Substitute the values: P = 110² / (25 + 60) = 142.35 W",142.35,W
THCB094,Three mass measurements were taken: 100.2 g; 100.0 g; 100.4 g. Calculate the average mass and the average absolute error.,"Step 1: Identify measurements: 100.2 g, 100.0 g, 100.4 g.
Step 2: Calculate average mass: (100.2 + 100.0 + 100.4) / 3 = 100.2 g.
Step 3: Calculate individual deviations: |100.2 - 100.2| = 0; |100.0 - 100.2| = 0.2; |100.4 - 100.2| = 0.2.
Step 4: Calculate average absolute error: (0 + 0.2 + 0.2) / 3 ≈ 0.133 g.",100.2; 0.133,g; g
DDT362,Calculate the natural period of oscillation for a circuit with L = 0.1 H and C = 10⁻⁶ F.,"Step 1: Identify the given values from the question. The inductance of the inductor is L = 0.1 H and the capacitance of the capacitor is C = 10⁻⁶ F. The objective is to determine the natural period of oscillation of the LC circuit.
Step 2: Recall the formula used to calculate the natural oscillation period of an LC circuit. The oscillation period depends on the inductance and the capacitance and is given by Thomson’s formula: T = 2*pi*sqrt(LC).
Step 3: Substitute the given values of L and C into the formula for the oscillation period. The expression becomes T = 2*pi*sqrt((0.1 H)*(10⁻⁶ F)).
Step 4: Calculate the product of L and C. (0.1 H)*(10⁻⁶ F) = 1.0 × 10⁻⁷.
Step 5: Calculate the square root of the result. sqrt(1.0 × 10⁻⁷) = 3.162 × 10⁻⁴.
Step 6: Multiply the result by 2*pi.
2*pi ≈ 6.2832.
6.2832 × 3.162 × 10⁻⁴ = 1.986 × 10⁻³ s.
Step 7: Interpret the result. This value represents the time required for one complete cycle of energy transfer between the capacitor and the inductor.
Step 8: State the final conclusion. The natural period of oscillation of the LC circuit is T ≈ 1.99 × 10⁻³ s.",1.99 × 10⁻³,s
DT045,"A charge q = 10^-7 C is placed in the electric field of a point charge Q, experiencing a force F = 3 mN. Calculate the magnitude of charge Q, given that the two charges are separated by a distance of 30 cm in vacuum.","Step 1: The given values are charge q = 10^-7 C, force F = 3 mN = 3 × 10^-3 N, and separation distance r = 30 cm = 0.30 m.
Step 2: Coulomb's Law states that the magnitude of the force F between two point charges Q and q separated by a distance r is given by F = k * |Q * q| / r^2.
Step 3: The Coulomb's constant k in vacuum is approximately 9 × 10^9 N·m^2 / C^2.
Step 4: To find the magnitude of Q, rearrange the formula: |Q| = (F * r^2) / (k * |q|).
Step 5: The magnitude of charge Q is 3 × 10^-7 C.",3 . 10^{-7},C
DT050,"Two point charges q1 and q2 are placed at A and B, with AB = 2 cm. Given that q1 + q2 = 7 x 10^-8 C. At point M, which is 6 cm from q1 and 8 cm from q2, the net electric field strength is E = 0. Find q2.","Step 1: Determine the geometric arrangement of points A, B, and M. Given distances are AB = 2 cm, AM = 6 cm, and BM = 8 cm. Since AB + AM = 2 + 6 = 8 cm, which equals BM, the points are collinear with A situated between B and M (B-A-M).
Step 2: Let r1 be the distance from q1 (at A) to M, so r1 = AM = 6 cm = 0.06 m. Let r2 be the distance from q2 (at B) to M, so r2 = BM = 8 cm = 0.08 m.
Step 3: For the net electric field strength E at M to be zero, the electric field E1 from q1 and the electric field E2 from q2 must be equal in magnitude and opposite in direction.
Step 4: The magnitudes of the electric fields are E1 = k|q1|/r1^2 and E2 = k|q2|/r2^2. Setting them equal: k|q1|/(0.06 m)^2 = k|q2|/(0.08 m)^2.
Step 5: The value of charge q2 is 1.6 × 10^-7 C.",1.6 × 10^-7,C
THCB127,The measured value is 39.5 cm while the true value is 40.0 cm. Calculate the absolute error and the percentage relative error.,"Step 1: Calculate the absolute error: |39.5 - 40.0| = 0.5 cm.
Step 2: Calculate the relative error using the true value: 0.5 / 40.0.
Step 3: Convert to percentage: (0.5 / 40.0) * 100%.
Step 4: Final calculation: 1.25%",0.5; 1.25,cm; %
QA8008771,"Two locations, A and B, are 220km apart. At 6 AM, a car departs from A towards B. At 7:08 AM, another car departs from B towards A. The two cars meet at 9 AM. Calculate the speed of each car, knowing that the speed of the second car is 12.5 km/h less than the first car.","Step 1: Identify the total distance between locations A and B as 220 km.
Step 2: Calculate the travel time for the first car (departing at 6 AM, meeting at 9 AM) as 3 hours.
Step 3: Calculate the travel time for the second car (departing at 7:08 AM, meeting at 9 AM). This is 1 hour and 52 minutes, which is 1 + 52/60 = 1 + 13/15 = 28/15 hours.
Step 4: Let v1 be the speed of the first car and v2 be the speed of the second car. The problem states v2 = v1 - 12.5 km/h.",,
CH247,"For circuit AB, LCω² = 1, and uAM and uMB are 90° out of phase. Given R1 = 70 Ω and R2 = 40 Ω. Calculate the power factor of the entire circuit.","Step 1: Analyze circuit conditions
From the condition LCω² = 1 we obtain Z_L = Z_C. This is the phenomenon of full electrical resonance in a series RLC circuit.
Step 2: Determine the phase difference of the entire circuit
When the circuit is at resonance, the total voltage u_AB and the current i are always in phase with each other. Therefore φ = 0.
Step 3: Calculate the power factor
The power factor of the entire circuit is calculated using cos φ. Since φ = 0 we have cos φ = cos(0) = 1.
Step 4: Conclusion
Regardless of the specific values of R₁ and R₂, as long as the resonance condition (Z_L = Z_C) is satisfied, the power factor of the entire circuit always reaches its maximum value. Therefore cos φ = 1.",1,-
TD063,A parallel-plate capacitor has a capacitance of 22.72 pF and is charged to a voltage of 111.2 V. Calculate the charge stored on the capacitor.,"Step 1: Identify the given values: C = 22.72 pF, V = 111.2 V.
Step 2: Convert the capacitance to SI units: C = 22.72 × 10^-12 F.
Step 3: Recall the formula for the charge (Q) stored in a capacitor: Q = C * V.
Step 4: The charge stored by the capacitor is approximately 2.53 nC.",2.53,nC
THCB066,"A voltage source of U = 9V. Two lamps are connected in parallel, and each lamp has a resistance R = 9Ω. Calculate the current through each lamp and the total current.","Step 1: Identify that lamps are in parallel. If the series variable resistor is set to 0 Ohms, each lamp receives the full 9V.
Step 2: Calculate the current through lamp 1: I1 = V / R = 9V / 9Ω = 1.0 A.
Step 3: Calculate the current through lamp 2: I2 = V / R = 9V / 9Ω = 1.0 A.
Step 4: Calculate total current (reading on A1): I_total = I1 + I2 = 1.0 A + 1.0 A = 2.0 A.",I_D₁ = 1.0; I_D₂ = 1.0; I_total = 2.0,A; A; A
TD385,"A parallel-plate capacitor with a capacitance of 100 pF is charged to 200 V. The power source is then disconnected, and the distance between its plates is doubled. Calculate the electrical energy stored in the capacitor after this change.","Step 1: Identify initial values: C_initial = 100 pF, V_initial = 200 V.
Step 2: Calculate initial charge: Q = C_initial * V_initial = 100 pF * 200 V = 20,000 pC = 20 nC.
Step 3: Since the source is disconnected, charge Q remains constant at 20 nC.
Step 4: Doubling the distance (d) halves the capacitance: C_final = 100 pF / 2 = 50 pF.
Step 5: Calculate final energy using W = Q² / (2 * C_final).
Step 6: W = (20 * 10⁻⁹)² / (2 * 50 * 10⁻¹²) = (400 * 10⁻¹⁸) / (100 * 10⁻¹²) = 4 * 10⁻⁶ J = 4 μJ.",4.000,μJ
DT098,"Two charges q₁ = +4 × 10^-9 C and q₂ = –4 × 10^-9 C are placed at points A and B, separated by 2 cm. Calculate the magnitude of the electric field strength at point M such that MA = 1 cm and MB = 3 cm.","Step 1: Determine the relative arrangement of points A, B, and M based on the given distances. Since AB = 2 cm, MA = 1 cm, and MB = 3 cm, it implies that point A is between M and B (MA + AB = MB, i.e., 1 cm + 2 cm = 3 cm).
Step 2: Calculate the magnitude of the electric field E₁ produced by charge q₁ at point M using E = k * |q| / r². E₁ = (9 × 10⁹ N⋅m²/C²) * |+4 × 10⁻⁹ C| / (0.01 m)².
Step 3: E₁ = 36 N⋅m²/C / 0.0001 m² = 360000 N/C. Since q₁ is positive and A is between M and B, E₁ points away from A, which is towards M (left in the M-A-B line).
Step 4: Calculate the magnitude of the electric field E₂ produced by charge q₂ at point M. E₂ = (9 × 10⁹ N⋅m²/C²) * |-4 × 10⁻⁹ C| / (0.03 m)².
Step 5: The magnitude of the resultant electric field at point M is 3.2 x 10⁵ N / C.",4.0 × 10⁴,N/C
TD048,A parallel-plate capacitor with a capacitance of 51.55 pF is charged to a potential difference of 158.2 V. Calculate the charge stored by the capacitor.,"Step 1: Identify the given values: C = 51.55 pF, V = 158.2 V.
Step 2: Convert the capacitance to SI units: C = 158.2 × 10^-12 F.
Step 3: Recall the formula for the charge (Q) stored in a capacitor: Q = C * V.
Step 4: The charge stored by the capacitor is approximately 8.16 nC.",8.16,nC
LD346,"Two electric charges, q1 = 4.2 × 10^-6 C and q2 = 4.8 × 10^-6 C, are separated by 6.0 cm. Point M lies on the line connecting the two charges (let's denote their positions as A and B respectively) but outside the segment AB. M is located 8.0 cm from A. Calculate the net electric field strength at M. Give your answer rounded two decimal places.","Step 1: Identify the given electric charges and their separation.
Charge q₁ = 4.2 × 10⁻⁶ C, charge q₂ = 4.8 × 10⁻⁶ C. The distance between them is 6.0 cm (0.06 m). Use k = 9 × 10⁹ N·m²/C².
Step 2: Determine the position of point M and its distances from each charge.
Point M lies on the line AB but outside the segment. Since M is 0.08 m from A and the separation AB is 0.06 m, M must be on the side of A (arrangement M---A---B).
r₁ = 0.08 m.
r₂ = 0.08 + 0.06 = 0.14 m.
Step 3: Calculate the magnitude of the electric field E1 produced by charge q1 at point M.
E1 = (9 × 10⁹ * 4.2 × 10⁻⁶) / 0.08² = 37800 / 0.0064 = 5906250 V/m.
Step 4: Determine the direction of E1 and calculate E2.
Since both charges are positive, both fields point away from the charges (to the left).
E2 = (9 × 10⁹ * 4.8 × 10⁻⁶) / 0.14² = 43200 / 0.0196 ≈ 2204081.633 V/m.
Step 5: Calculate the net electric field strength at M.
Enet = E1 + E2 = 5906250 + 2204081.633 ≈ 8.11 × 10⁶ V/m.",8.11*10^6,V/m
NL316,What is the shape of the graph representing magnetic field energy as a function of inductance L (keeping I constant)?,"Step 1: The magnetic field energy (W_L) stored in an inductor is given by the formula W_L = (1/2) * L * I^2.
Step 2: The question asks for the shape of the graph representing magnetic field energy (W_L) as a function of inductance (L), while current (I) is kept constant.
Step 3: Since I is constant, the term (1/2) * I^2 is a constant positive value. Let this constant be 'k'.
Step 4: The relationship becomes U = k * L, which is the equation of a straight line passing through the origin with a positive slope 'k'.",Upward straight line,-
QA911,"A series circuit consists of R=40 ohms, L, and C. A variable frequency AC voltage is applied across the circuit.
When f = f1 = 50√3 Hz, the RMS voltage across R is maximum.
When f = f2 = 50 Hz, the RMS voltage across C is maximum.
Find the inductance L.","Step 1: Identify that when the RMS voltage across R is maximum, the circuit is at resonance.
Step 2: State the resonant frequency f1 condition: f1 = 1 / (2π√(LC)). From this, C = 1 / (4π²f1²L).
Step 3: Identify that when the RMS voltage across C is maximum, the frequency f2 is given by the condition: (2πf2)² = (1/LC) * (1 - R²C / (2L)).
Step 4: Substitute the expression for (1/LC) from the resonant frequency f1 condition into the equation for f2: (2πf2)² = (2πf1)² * (1 - R²C / (2L)).",,
CH092,An inductor has L = 0.07 H. What capacitance C is needed for it to resonate at 350 Hz?,"Step 1: Identify the given values from the question: Inductance L = 0.07 H and resonant frequency f = 350 Hz.
Step 2: Recall the formula for the resonant frequency of an LC circuit: f = 1 / (2π√(LC)).
Step 3: Rearrange the formula to solve for capacitance C: C = 1 / (4π²f²L).
Step 4: Substitute the given values into the rearranged formula: C = 1 / (4π² * 350² * 0.07) = 2.95 μF.",2.96,μF
QA7997492,"A 50g tennis ball is dropped from position A, at a height of 1.8m above the ground, and bounces back up to position B, at a height of 1m.
a) Calculate the mechanical energy of the ball at position A and at position B.
b) How much mechanical energy was lost, and what form of energy was it transformed into?","Step 1: Convert the mass of the ball from grams to kilograms: 50 g = 0.050 kg.
Step 2: Mechanical energy (ME) is the sum of kinetic energy (KE) and potential energy (PE), where PE = mgh and KE = 0.5mv².
Step 3: At position A, the ball is dropped, implying its initial velocity is 0 m/s, so kinetic energy KE_A = 0 J.
Step 4: The potential energy at position A is PE_A = (0.050 kg) * g * (1.8 m), so the mechanical energy at A is ME_A = 0.090 * g.",,
LD138,"Two point charges q1 = +3 × 10^-6 C and q2 = -3 × 10^-6 C are placed at two points A and B, separated by 10 cm. A charge q3 = -3 × 10^-6 C is placed at the midpoint of AB. Calculate the electric force acting on q3.","Step 1: Identify the given charges and distances.
Step 2: Determine the distances from q3 to q1 and q2.
Step 3: Calculate the magnitude of the force F13 exerted by q1 on q3 using Coulomb's Law (F = k |q1 q3| / r13^2).
Step 4: Determine the direction of F13.
The magnitude of the net electric force acting on q3 is exactly 64.8 N.",64.8,N
TD092,"A parallel-plate capacitor has two circular plates, each with a radius of 45 cm, separated by 2.1 mm. Calculate the maximum charge the capacitor can store without causing dielectric breakdown of the air (Emax = 3×10⁵ V/m).","Step 1: Identify the given values and convert them to SI units.
Step 2: Calculate the area (A) of one circular plate using the radius (r).
Step 3: Calculate the maximum voltage (V_max) the capacitor can withstand, using the maximum electric field (E_max) and the plate separation (d).
Step 4: Calculate the capacitance (C) of the parallel-plate capacitor, using the plate area (A), plate separation (d), and the permittivity of free space (ε₀ ≈ 8.854 × 10⁻¹² F/m) for air.
Step 5: Calculate the maximum charge (Q_max) using the formula Q_max = C * V_max.
Step 6: The maximum charge stored is 1.69 μC.",1.69,μC
DDT160,The magnetic flux through a solenoid decreases from 0.006 Wb to 0 in 0.01 s. Calculate the average induced electromotive force.,"Step 1: Identify the initial magnetic flux as 0.006 Wb.
Step 2: Identify the final magnetic flux as 0 Wb.
Step 3: Identify the time interval as 0.01 s.
Step 4: Recall Faraday's Law of Induction, which states that the average induced electromotive force (EMF) is given by EMF = -ΔΦ/Δt.
Step 5: -ΔΦ = 0 - 0.006 = -0.006 Wb.
Step 6: EMF = -(-0.006) / 0.01 = 0.6 V.",0.6,V
LD141,"Two electric forces have magnitudes of 3 N and 9 N, and they are perpendicular to each other. Calculate their resultant force.","Step 1: Identify the magnitudes of the two electric forces as 3 N and 9 N.
Step 2: Recognize that the two forces are perpendicular to each other (at a 90° angle).
Step 3: To find the magnitude of the resultant force for two perpendicular forces, use the Pythagorean theorem.
Step 4: Apply the Pythagorean theorem: Resultant Force = sqrt((Force1)^2 + (Force2)^2).
Step 5: The magnitude of the net electric force is approximately 9.4868 N.",9.4868,N
NL307,"When two identical capacitors are connected in series to a voltage source, how does the total stored energy compare to when they are connected in parallel?","Step 1: Let the capacitance of each identical capacitor be C, and the voltage of the source be U.
Step 2: When two identical capacitors are connected in series, their equivalent capacitance C_series is given by 1/C_series = 1/C + 1/C, which simplifies to C_series = C/2.
Step 3: The total energy stored in the series connection, W_series, is (1/2) * C_series * U^2 = (1/2) * (C/2) * U^2 = (1/4) * C * U^2.
Step 4: When two identical capacitors are connected in parallel, their equivalent capacitance C_parallel is given by C_parallel = C + C = 2C.
Step 5: The total energy stored in the parallel connection, W_parallel, is (1/2) * C_parallel * U^2 = (1/2) * (2C) * U^2 = C * U^2.
Step 6: Therefore, the total energy stored in the series connection (W_series) is smaller than the total energy stored in the parallel connection (W_parallel).",less than,-
LD062,"Two electric charges q1 = 5 × 10^-9 C and q2 = –5 × 10^-9 C are placed at two points separated by 10 cm in a vacuum. Calculate the magnitude of the electric field strength at a point located on the straight line passing through the two charges, and which is 5 cm from q1 and 15 cm from q2.","Step 1: Identify the given values and convert units to SI units.
Step 2: Determine the position of point P relative to the charges.
Step 3: State the formula for the electric field due to a point charge and the Coulomb's constant.
Step 4: Calculate the electric field strength due to q1 at point P (E1).",20000,V/m
DDT139,"A solenoid has a cross-sectional area of 4 cm², a turn density of 1000 turns/m, and carries a current of 2 A. Calculate the magnetic field energy density inside the solenoid.","Step 1: Identify the given values for the solenoid: turn density (n) = 1000 turns/m and current (I) = 2 A.
Step 2: State the formula for the magnetic field (B) inside a solenoid: B = μ₀ * n * I, where μ₀ is the permeability of free space (4π × 10⁻⁷ T·m/A).
Step 3: Calculate the magnetic field (B): B = (4π × 10⁻⁷ T·m/A) * (1000 turns/m) * (2 A) = 8π × 10⁻⁴ T.
Step 4: State the formula for the magnetic field energy density (u_B) inside a solenoid: u_B = B² / (2μ₀).
Step 5: Substitute the expression for B into the energy density formula: u_B = (μ₀ * n * I)² / (2μ₀) = (1/2) * μ₀ * n² * I².
Step 6: Substitute the numerical values: u_B = 0.5 * (4 * π * 10⁻⁷) * (1000)² * (2)².
Step 7: Perform the calculation: u_B = 0.5 * (12.566 * 10⁻⁷) * 1,000,000 * 4 = 2.51 J/m³.",2.51,J/m³
QA523,"In a Young's double-slit experiment on monochromatic light interference, with a wavelength of 0...","Step 1: The problem describes a Young's double-slit experiment involving monochromatic light interference.
Step 2: The question explicitly states that the wavelength is given as ""0"" but is incomplete and lacks units.
Step 3: For calculations in a Young's double-slit experiment, a complete numerical value and units for the wavelength are required.
Step 4: The problem does not provide a complete or valid wavelength value with units.",,
CH057,An RLC series resonant circuit has a voltage U = 250 V and a resistance R = 125 Ω. What is the power consumed?,"Step 1: Identify the given values: Voltage U = 250 V and Resistance R = 125 Ω.
Step 2: In an RLC series resonant circuit, the total impedance (Z) of the circuit is equal to its resistance (R) because the inductive reactance cancels the capacitive reactance (XL = XC).
Step 3: The power consumed (P) in an AC circuit at resonance can be calculated using the formula P = U² / R, since the circuit behaves purely resistively.
Step 4: Substitute the given values into the formula: P = 250² / 125 = 500 W.",500,W
NL094,A capacitor with C = 50 μF is charged to 100 V. It is then connected to an inductor. Calculate the total energy (mJ) of oscillation.,"Step 1: Identify the given capacitance C = 50 μF and initial voltage U = 100 V across the capacitor.
Step 2: Convert the capacitance from microfarads to farads for calculation: C = 50 μF = 50 * 10^-6 F.
Step 3: Use the formula for the energy stored in a capacitor, E = (1/2) * C * U^2, which represents the total energy of oscillation in an ideal LC circuit.
Step 4: Substitute the values and calculate the total energy: E = (1/2) * 50 * 10^-6 * 100^2 = 0.25 J = 250.00 mJ.",250.00,mJ
DDT333,"Given a series RLC circuit with R = 15 Ω and an RMS current of 2 A, what is the total RMS voltage across the circuit when it is operating at resonance?","Step 1: Identify the given values from the question: resistance R = 15 Ω and RMS current I_rms = 2 A.
Step 2: Recognize the circuit condition: the circuit is operating at resonance, where the inductive reactance and capacitive reactance cancel each other, so the total impedance becomes equal to the resistance, therefore Z = R.
Step 3: Use Ohm’s Law for AC circuits to determine the total RMS voltage: V_rms = I_rms*Z.
Step 4: Substitute the resonance condition into the formula: since Z = R, the formula becomes V_rms = I_rms*R.
Step 5: Substitute the given values into the formula: V_rms = 2 A*15 Ω.
Step 6: Perform the calculation with units: 2 A*15 Ω = 30.0 V.
Step 7: State the final conclusion: the total RMS voltage across the circuit is V_rms = 30.0 V.",30.0,V
CH237,"A circuit AB is formed by two series segments. Segment AM consists of a resistor R1 = 40 Ω in series with a capacitor C. Segment MB consists of a resistor R2 = 20 Ω in series with an inductor L. The entire circuit AB has the condition LCω² = 1. An RMS voltage U = 90 V is applied across AB. Given that the voltage u_AM is 90 degrees out of phase with the voltage u_MB, what is the RMS voltage across segment MB?","Step 1: Analyze resonance and phase conditions
From LCω² = 1 we obtain Z_L = Z_C. Since u_AM is perpendicular to u_MB (90° phase difference), we have the relationship Z_L · Z_C = R₁ · R₂ and therefore Z_L² = Z_C² = 40 · 20 = 800. Thus the inductive reactance Z_L = √800 = 20√2 ≈ 28.28 Ω.
Step 2: Determine the total circuit current
Because Z_L = Z_C the circuit experiences full resonance. The total impedance of AB is Z_AB = R₁ + R₂ = 40 + 20 = 60 Ω. The RMS current in the circuit is I = U / (R₁ + R₂) = 90 / 60 = 1.5 A.
Step 3: Calculate the impedance of segment MB
Segment MB consists of R₂ and L in series, so its impedance Z_MB is calculated as Z_MB = √(R₂² + Z_L²) = √(20² + 800) = √(400 + 800) = √1200 = 20√3 ≈ 34.64 Ω.
Step 4: Calculate the RMS voltage U_MB
Substitute the obtained values into the formula U_MB = I · Z_MB: U_MB = 1.5 · 20√3 = 30√3 ≈ 51.96 V.",51.96,V
DDT356,How is the oscillation period of an LC circuit calculated?,"Step 1: Identify what the question asks. The problem asks for the oscillation period of an ideal LC circuit.
Step 2: Recall the components involved in the oscillation. An LC circuit consists of an inductor with inductance L and a capacitor with capacitance C, where energy oscillates between the magnetic field of the inductor and the electric field of the capacitor.
Step 3: Recall the formula used to determine the oscillation period of an LC circuit. This relation is known as Thomson’s formula: T = 2*pi*sqrt(LC).
Step 4: Explain the meaning of the variables. In this formula, T is the oscillation period of the circuit, L is the inductance measured in henries (H), and C is the capacitance measured in farads (F).
Step 5: Interpret the physical meaning. The oscillation period represents the time required for one complete cycle of energy transfer between the capacitor and the inductor.
Step 6: State the final conclusion. The oscillation period of an ideal LC circuit is given by T = 2*pi*sqrt(LC).",T = 2π√(LC),s
QA8007214,"The distance between Hanoi and Ha Long is 156km. A car departs from Hanoi to Ha Long at a constant speed. 24 minutes later, a motorbike also departs from Hanoi to Ha Long (on the same road as the car) at a speed 8 km/h greater than the car's speed. Both vehicles arrive in Ha Long at the same time. Calculate the speed of each vehicle.","Step 1: Determine the time parameters for both vehicles
The distance from Hanoi to Hạ Long is 156 km. Time for the car is 156 / v hours. Time for the motorcycle is 156 / (v + 8) hours.
Step 2: Set up the equation based on the departure time difference
Since the motorcycle starts 24 minutes (0.4 hours) later but arrives at the same time, its travel time is 0.4 hours less than the car’s: 156 / v − 156 / (v + 8) = 0.4.
Step 3: Transform the equation into quadratic form
Divide both sides by 0.4 and use the common denominator: 390 / v − 390 / (v + 8) = 1. This simplifies to 390(v + 8) − 390v / [v(v + 8)] = 1, so 3120 = v² + 8v, or v² + 8v − 3120 = 0.
Step 4: Solve the quadratic equation for the exact speed
Using factoring: (v + 60)(v − 52) = 0. Since speed v > 0, we take v = 52 km/h. Therefore the car’s speed is 52 km/h and the motorcycle’s speed is 52 + 8 = 60 km/h.",,
DDT380,"The current through a solenoid increases uniformly from 0 to 5 A over a period of 0.2 s. Given that the induced electromotive force is 0.5 V, determine the self-inductance.","Step 1: Identify the given values from the question: the current increases from 0 A to 5 A, the time interval is Δt = 0.2 s, and the induced electromotive force is ε = 0.5 V.
Step 2: Determine the change in current and recall the self-induction relation: ΔI = 5 A − 0 A = 5 A and the formula connecting induced emf and inductance is |ε| = L*(ΔI/Δt).
Step 3: Rearrange the formula to find the inductance and substitute the known values:
L = ε / (ΔI/Δt) = 0.5 V / (5 A / 0.2 s).
Step 4: Calculate the rate of change of current and the inductance:
5 A / 0.2 s = 25 A/s, therefore L = 0.5 / 25 = 0.02 H.
Step 5: Final conclusion: the self-inductance of the solenoid is L = 0.02 H.",0.02,H
DDT383,"Given a solenoid with a magnetic field B = 2×10⁻³ T and a cross-sectional area of 3 cm², determine the magnetic flux through this area.","Step 1: Identify the given values from the question: the magnetic field is B = 2 × 10⁻³ T and the cross-sectional area is A = 3 cm².
Step 2: Convert the cross-sectional area to SI units: A = 3 cm² = 3 × (10⁻² m)² = 3 × 10⁻⁴ m².
Step 3: Recall the formula for magnetic flux when the magnetic field is perpendicular to the surface: Φ = BA
Step 4: Substitute the given values into the formula: Φ = (2 × 10⁻³ T)*(3 × 10⁻⁴ m²).
Step 5: Multiply the numerical coefficients and combine the powers of ten: 2 × 3 = 6 and 10⁻³ × 10⁻⁴ = 10⁻⁷, therefore Φ = 6 × 10⁻⁷ T·m².
Step 6: Express the unit correctly: T·m² is equivalent to weber (Wb), the SI unit of magnetic flux.
Step 7: Final conclusion: the magnetic flux through the cross-sectional area is Φ = 6 × 10⁻⁷ Wb.",6×10⁻⁷,Wb
CH083,What inductor should be chosen to resonate with an 8 μF capacitor at a frequency of 60 Hz?,"Step 1: Identify the given values from the question: the capacitance C = 8 μF and the resonant frequency f = 60 Hz.
Step 2: Convert the capacitance to Farads: C = 8 * 10⁻⁶ F.
Step 3: Use the formula for the resonant frequency of an LC circuit: f = 1 / (2π√(LC)).
Step 4: Rearrange the formula to solve for inductance (L): L = 1 / ((2πf)²C) = 1 / ((2π * 60)² * 8 * 10⁻⁶) = 879.52 mH.",879.52,mH
NL033,An inductor has an inductance L = 0.15 H and a current of 2.5 A. Calculate the stored magnetic field energy (mJ).,"Step 1: Identify the given values: Inductance L = 0.15 H and current I = 2.5 A.
Step 2: Recall the formula for the energy stored in an inductor: E = 0.5 * L * I^2.
Step 3: Substitute the given values into the formula: E = 0.5 * 0.15 H * (2.5 A)^2.
Step 4: The final calculated value of E: E = 0.46875 J = 468.75 mJ.",468.75,mJ
